Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
1.431149637699127197e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.631499999999999773e+01,2.937399999999999878e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.441156525611877441e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.636399999999999721e+01,2.952100000000000080e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.451164457798004150e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.650999999999999801e+01,2.932600000000000051e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.461168749332427979e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.646099999999999852e+01,2.937399999999999878e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.471174528598785400e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.660799999999999699e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.481184847354888916e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.655899999999999750e+01,2.922800000000000153e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.491189689636230469e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.690100000000000335e+01,2.932600000000000051e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.501193785667419434e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.680400000000000205e+01,2.917899999999999849e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.511208834648132324e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.690100000000000335e+01,2.922800000000000153e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.521215987205505371e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.685199999999999676e+01,2.927700000000000102e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.531217720508575439e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.699900000000000233e+01,2.927700000000000102e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.541225488185882568e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.699900000000000233e+01,2.937399999999999878e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.551235387325286865e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.690100000000000335e+01,2.927700000000000102e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.561240441799163818e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.709700000000000131e+01,2.922800000000000153e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.571254227161407471e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.704800000000000182e+01,2.932600000000000051e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.581268744468688965e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.704800000000000182e+01,2.952100000000000080e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.591285386085510254e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.709700000000000131e+01,2.922800000000000153e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.601290280818939209e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.719500000000000028e+01,2.942299999999999827e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.611294791698455811e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.714600000000000080e+01,2.927700000000000102e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.621303019523620605e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.714600000000000080e+01,2.942299999999999827e+01,2.300000000000000000e+01,2.300000000000000000e+01
